feature_code,anatomical_label,train_missing_fraction
rh_parsopercularis_thickness_combat,Right pars opercularis thickness harmonized with combat,0.0
rh_parsopercularis_volume_combat,Right pars opercularis grey matter volume harmonized with combat,0.0
rh_parsorbitalis_thickness_combat,Right pars orbitalis thickness harmonized with combat,0.0
rh_parsorbitalis_volume_combat,Right pars orbitalis grey matter volume harmonized with combat,0.0
rh_parstriangularis_thickness_combat,Right pars triangularis thickness harmonized with combat,0.0
rh_parstriangularis_volume_combat,Right pars triangularis grey matter volume harmonized with combat,0.0
rh_pericalcarine_thickness_combat,Right pericalcarine gyri thickness harmonized with combat,0.0
rh_pericalcarine_volume_combat,Right pericalcarine gyri grey matter volume harmonized with combat,0.0
rh_postcentral_thickness_combat,Right postcentral gyri thickness harmonized with combat,0.0
rh_postcentral_volume_combat,Right postcentral gyri grey matter volume harmonized with combat,0.0
rh_posteriorcingulate_thickness_combat,Right posterior cingulate thickness harmonized with combat,0.0
rh_posteriorcingulate_volume_combat,Right posterior cingulate grey matter volume harmonized with combat,0.0
rh_precentral_thickness_combat,Right precentral gyri thickness harmonized with combat,0.0
rh_precentral_volume_combat,Right precentral gyri grey matter volume harmonized with combat,0.0
rh_precuneus_thickness_combat,Right precuneus thickness harmonized with combat,0.0
rh_precuneus_volume_combat,Right precuneus grey matter volume harmonized with combat,0.0
rh_rostralanteriorcingulate_thickness_combat,Right rostral anterior cingulate thickness harmonized with combat,0.0
rh_rostralanteriorcingulate_volume_combat,Right rostral anterior cingulate grey matter volume harmonized with combat,0.0
rh_rostralmiddlefrontal_thickness_combat,Right rostral middle frontal gyri thickness harmonized with combat,0.0
rh_rostralmiddlefrontal_volume_combat,Right rostral middle frontal gyri grey matter volume harmonized with combat,0.0
rh_superiorfrontal_thickness_combat,Right superior frontal gyri thickness harmonized with combat,0.0
rh_superiorfrontal_volume_combat,Right superior frontal gyri grey matter volume harmonized with combat,0.0
rh_superiorparietal_thickness_combat,Right superior parietal gyri thickness harmonized with combat,0.0
rh_superiorparietal_volume_combat,Right superior parietal gyri grey matter volume harmonized with combat,0.0
rh_superiortemporal_thickness_combat,Right superior temporal gyri thickness harmonized with combat,0.0
rh_superiortemporal_volume_combat,Right superior temporal gyri grey matter volume harmonized with combat,0.0
rh_supramarginal_thickness_combat,Right supramarginal gyri thickness harmonized with combat,0.0
rh_supramarginal_volume_combat,Right supramarginal gyri grey matter volume harmonized with combat,0.0
rh_temporalpole_thickness_combat,Right temporal pole thickness harmonized with combat,0.0
rh_temporalpole_volume_combat,Right temporal pole grey matter volume harmonized with combat,0.0
rh_transversetemporal_thickness_combat,Right transverse temporal pole thickness harmonized with combat,0.0
rh_transversetemporal_volume_combat,Right transverse temporal pole grey matter volume harmonized with combat,0.0
rhCerebralWhiteMatterVol_combat,Right cerebral cortex white matter volume harmonized with combat,0.0
rhCortexVol_combat,Right cerebral cortex grey matter volume harmonized with combat,0.0
Right.Accumbens.area_combat,Right accumbens volume harmonized with combat,0.0
Right.Amygdala_combat,Right amygdala volume harmonized with combat,0.0
Right.Caudate_combat,Right caudate volume harmonized with combat,0.0
Right.Cerebellum.Cortex_combat,Right cerebellar cortex volume harmonized with combat,0.0
Right.Cerebellum.White.Matter_combat,Right cerebellar white matter volume harmonized with combat,0.0
Right.choroid.plexus_combat,Right choroid plexus volume harmonized with combat,0.0
Right.Hippocampus_combat,Right hippocampus volume harmonized with combat,0.0
Right.Inf.Lat.Vent_combat,Right inferior lateral ventricle volume harmonized with combat,0.0
Right.Lateral.Ventricle_combat,Right lateral ventricle volume harmonized with combat,0.0
Right.Pallidum_combat,Right pallidum volume harmonized with combat,0.0
Right.Putamen_combat,Right putamen volume harmonized with combat,0.0
Right.Thalamus.Proper_combat,Right thalamus volume harmonized with combat,0.0
Right.VentralDC_combat,Right ventral DC volume harmonized with combat,0.0
SubCortGrayVol_combat,Total volume of the subcortical grey matter harmonized with combat,0.0
SupraTentorialVol_combat,Total volume of brain (minus the cerebellum) harmonized with combat,0.0
SupraTentorialVolNotVent_combat,Total volume of brain without ventricles (minus the cerebellum) harmonized with combat,0.0
SupraTentorialVolNotVentVox_combat,Number of voxels of brain without ventricles (minus the cerebellum) harmonized with combat,0.0
TotalGrayVol_combat,Total volume of all grey matter (cortical and subcortical) harmonized with combat,0.0
WM.hypointensities_combat,White matter hypointensities harmonized with combat,0.0
